tool_name,source_chain,current_main_chat_access,tool_kind,read_write,required_args,optional_args,side_effect_scope,chinese_note,source_of_truth
get_active_encounters,planner_and_legacy,yes,state_query,read,,,none,读取当前活跃或待处理遭遇概览；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_area_reputation,planner_and_legacy,yes,state_query,read,,sub_zone_id,none,读取当前或指定子区块声望；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_consistency_status,planner_and_legacy,yes,state_query,read,,,none,读取当前世界修订与一致性问题；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_current_sub_zone,planner_and_legacy,yes,state_query,read,,,none,读取当前子区块与区域快照；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_entity_index,planner_and_legacy,yes,state_query,read,,scope,none,读取合法实体 ID 索引；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_fate_state,planner_and_legacy,yes,state_query,read,,,none,读取当前命运线与阶段状态；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_game_logs,planner_and_legacy,yes,state_query,read,,limit,none,读取最近游戏日志；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_map_index,planner_and_legacy,yes,state_query,read,,,none,读取当前地图区块索引与玩家所在区块；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_npc_knowledge,planner_and_legacy,yes,state_query,read,npc_role_id,,none,读取单个 NPC 的知识边界快照；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_public_scene_state,planner_and_legacy,yes,state_query,read,,,none,读取公开场景候选者与当前状态；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_quest_state,planner_and_legacy,yes,state_query,read,,,none,读取当前任务状态与追踪任务；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_role_drives,planner_and_legacy,yes,state_query,read,,role_id|scope,none,读取角色或当前区域的欲望与故事动机；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_role_inventory,planner_and_legacy,yes,state_query,read,role_id,,none,读取单个角色的背包与装备槽；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_story_snapshot,planner_and_legacy,yes,state_query,read,,,none,读取统一故事快照与当前世界摘要；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_team_state,planner_and_legacy,yes,state_query,read,,,none,读取当前队伍成员与队伍状态；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
inventory_consume_item,planner_and_legacy,yes,inventory_action,write,owner_type|item_id,role_id|amount|consume_mode|reason,save,消耗玩家或角色背包中的一件道具；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
inventory_grant_item,planner_and_legacy,yes,inventory_action,write,owner_type|item_id|name,role_id|item_type|description|weight|rarity|value|effect|uses_max|uses_left|cooldown_min|bound|quantity|slot_type|attack_bonus|armor_bonus|reason,save,向玩家或角色背包发放一件道具；新主聊天 tool_plan 可直接调用。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
spawn_scene_npc,planner_and_legacy,yes,map_action,write,name,title|description|speaking_style|agenda|appearance|alignment|likes,save,在当前子区块生成一名常驻 NPC 立即入场；新主聊天 tool_plan 可直接调用，但单回合最多一次。,backend/app/services/stream_chat_service.py:_PLANNER_TOOLS | backend/app/services/chat_service.py:_tools_schema
get_player_state,legacy_only,compat_only,state_query,read,,,none,读取玩家/地图/任务等整包状态；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
discover_interactions,legacy_only,compat_only,map_action,read_write,sub_zone_id|intent,,map,发现当前或目标子区块的新交互；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
execute_interaction,legacy_only,compat_only,map_action,read_write,interaction_id,,map,执行占位交互并更新相关区域状态；当前仅旧工具链兼容保留。,backend/app/services/chat_service.py:_tools_schema | backend/app/services/chat_service.py:_handle_tool_call
