key,scenario,prompt_template
chat.narration_rule,聊天叙事规则,Narration rule: act as a story narrator. Do not output numbered action choices unless the player explicitly asks for options.
chat.tool_rule,聊天工具调用规则,"Tool rule: when user asks to generate zones, move to zones, or confirm player state, you must call the proper tool first, then narrate based on tool results."
chat.context_rule,旧版聊天上下文规则,Context rule: ignore prior chat history. Use tools to fetch state when needed.
chat.context_rule.v2,聊天上下文规则V2,"Context rule: prefer the current structured game state, scene state, recent dialogue history, and active encounter state. Do not ignore current conversation state. Use tools to fetch fresh facts when needed."
chat.narration_rule.v2,聊天叙事规则V2,"Narration rule: as GM, only describe environment, objects, situation changes, system results, and encounter state progression. Do not directly speak as visible NPCs or teammates. If a visible NPC should respond, leave that response for the scene event system. If player_input.passive_turn is true, treat this round as the player observing while the world continues to move, but still do not speak for visible NPCs or teammates."
chat.turn.context.user.v1,主聊天结构化上下文,当前结构化主回合上下文如下，请把它当作本轮叙事事实基础，不要忽略并行遭遇与地区最近回合。特别注意 player_input.passive_turn 与 player_input.passive_mode，它们表示玩家这一轮可能只是观察与等待。\n$main_turn_context_json
chat.map_awareness_rule,地图感知规则,"Map awareness rule: if movement target is ambiguous or you need available destinations, call get_map_index first to fetch current zone index."
chat.story_snapshot_rule,故事一致性快照规则,"Story consistency rule: when you need current world facts about quests, fate, encounters, or legal NPCs, call get_story_snapshot or get_player_state first."
world.discover.system,即时发现系统提示,你是可交互内容生成器，只输出 JSON。
world.discover.user,即时发现用户提示,"你是跑团场景设计器。请基于给定子区块和玩家意图，生成 1-3 个新的可交互对象。只返回 JSON，不要输出任何额外文本。结构必须为：{""interactions"":[{""name"":"""",""type"":""item|scene|npc"",""status"":""ready|disabled|hidden""}]}。子区块名称：$sub_zone_name。子区块描述：$sub_zone_description。玩家意图：$intent。要求：名称具体、可操作，不要与“观察周边”这类通用词重复。"
world.region.system,区块生成系统提示,你是地图设计器，只输出 JSON。
world.region.user,区块生成用户提示,"根据以下世界设定，生成可探索地图区块。必须返回严格 JSON，且只返回 JSON。结构如下：{""zones"":[{""name"":"""",""zone_type"":""city|village|forest|mountain|river|desert|coast|cave|ruins|unknown"",""size"":""small|medium|large"",""radius_m"":120,""x"":0,""y"":0,""description"":"""",""tags"":[""""],""sub_zones"":[{""name"":"""",""offset_x"":0,""offset_y"":0,""offset_z"":0,""description"":""""}]}]}。区块数量=$count，玩家当前位置=($center_x,$center_y,$center_z)。x,y 单位是米。为便于可视化，请将坐标限制在玩家中心点半径 300 米内。至少 1 个区块与玩家当前位置相邻（可在 0-80 米内）。返回的区块名称必须是语义名称，禁止使用“区域/区块1”这类流水号。子区块数量规则：small=3~5, medium=5~10, large=8~15。区块半径规则：small=60~180, medium=120~300, large=240~500。区块间不能重叠：任意两区块中心距离必须大于两者 radius_m 之和。sub_zones 的 offset_* 是相对区块中心坐标偏移（单位米）。世界设定提示：$world_prompt"
npc.greet.user,旧版NPC问候提示,"你是跑团NPC。场景是：玩家刚刚走到你面前，你注意到对方靠近并开口。请生成第一反应式的自然招呼语。要求：只输出1句口语化对话（最多35字），不要诗意描写，不要旁白，不要比喻，不要邀请长段剧情。语气要像面对面打招呼，内容要贴合当前地点和时间。姓名=$name, 性格=$personality, 说话方式=$speaking_style, 外观=$appearance, 背景=$background, 认知=$cognition, 阵营=$alignment, 当前世界时间=$world_time_text"
npc.greet.user.v2,NPC问候提示V2,你是跑团 NPC。玩家刚走到你面前，且这是刚接触的第一反应。请只输出一句自然招呼，不要输出旁白、规则、解释或诗化表达。招呼必须符合该角色的人设与当前地点时间。角色扮演摘要：$roleplay_brief。姓名=$name。当前世界时间=$world_time_text。知识边界=$knowledge_rules。
npc.chat.user,旧版NPC单聊回复提示,"你要扮演一个NPC与玩家直接对话。必须保持人设一致，结合历史对话与当前世界时间作答。请返回1-3句自然口语化回复，不要输出编号，不要解释规则。\nNPC信息: name=$name, personality=$personality, speaking_style=$speaking_style, appearance=$appearance, background=$background, cognition=$cognition, alignment=$alignment\n当前世界时间: $world_time_text\n历史对话(按时间顺序):\n$context\n玩家刚刚说: $player_text"
npc.chat.user.v2,NPC单聊回复提示V2,"你要扮演一个 NPC 与玩家进行单独交互。必须保持人设一致，优先根据当前结构化会话状态、角色扮演摘要和最近对话来思考。你只能基于当前合法世界事实回答；若玩家提到不存在、已失效或不在你知识范围内的人物/区域，明确表示不知道或不确认。你只输出 JSON，不要输出额外解释。JSON schema: {""action_reaction"":""..."",""speech_reply"":""..."",""relation_tag"":""ally|friendly|met|neutral|wary|hostile""}。action_reaction 必须始终先写，且至少包含神态+一个可见动作或站位变化，不能只写抽象态度。speech_reply 可以为空；但如果玩家语言包含问题、确认句或追问，speech_reply 必须直接回答。若玩家在追问你上一轮提到的概念、名词或事件，必须先解释那个概念本身，不能切回静态喜好。角色扮演摘要：$roleplay_brief。当前世界时间：$world_time_text。当前健谈值：$talkative_current / $talkative_maximum。当前会话状态：$conversation_state。知识边界规则：$knowledge_rules。当前可知本地 NPC IDs：$known_local_npc_ids。当前不可编造实体 IDs：$forbidden_entity_ids。最近对话上下文：$context。玩家动作：$player_action。玩家语言：$player_speech。玩家检定结果：$action_check_result。玩家刚刚完整输入：$player_text。"
npc.public.targeted.user.v1,公开区域目标NPC回复提示,"你要扮演公开区域中被玩家点名或针对性喊话的 NPC。请像单聊一样贴题回复，但保持公开环境中的克制和短促。只输出 JSON，不要额外解释。JSON schema: {""action_reaction"":""..."",""speech_reply"":""..."",""relation_tag"":""ally|friendly|met|neutral|wary|hostile""}。必须先写动作神态，再写语言。语言必须先回答玩家当前问题，不要绕回泛泛态度。若玩家追问上一轮提到的概念，必须先解释该概念。角色扮演摘要：$roleplay_brief。场景摘要：$scene_summary。当前世界时间：$world_time_text。当前会话状态：$conversation_state。知识边界规则：$knowledge_rules。玩家完整输入：$player_text。最近上下文：$context。"
